SampleID	SampleType	Species	Latin	Treatment	SideTreatment	Treatment_all	Replicate	RootType	Divison	SubDivision	Timepoint	Plant	Root	Experiment	Notes
RHIZO-FM-D1-1a	Rhizo	Foxtail Millet	Setaria italica	Severe Drought	NA	Drought	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-FM-D1-2a	Rhizo	Foxtail Millet	Setaria italica	Severe Drought	NA	Drought	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-FM-D1-2b	Rhizo	Foxtail Millet	Setaria italica	Severe Drought	NA	Drought	2b	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-FM-D1-3a	Rhizo	Foxtail Millet	Setaria italica	Severe Drought	NA	Drought	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-FM-D1-3b	Rhizo	Foxtail Millet	Setaria italica	Severe Drought	NA	Drought	3b	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-FM-D2-1b	Rhizo	Foxtail Millet	Setaria italica	Moderate Drought	NA	Drought	1b	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-FM-D2-2a	Rhizo	Foxtail Millet	Setaria italica	Moderate Drought	NA	Drought	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-FM-D2-3b	Rhizo	Foxtail Millet	Setaria italica	Moderate Drought	NA	Drought	3b	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-FM-D3-1b	Rhizo	Foxtail Millet	Setaria italica	Control	NA	Watered	1b	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-FM-D3-2a	Rhizo	Foxtail Millet	Setaria italica	Control	NA	Watered	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-FM-D3-3a	Rhizo	Foxtail Millet	Setaria italica	Control	NA	Watered	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-JM-D1-1a	Rhizo	Japanese Millet	Echinochloa esculenta	Severe Drought	NA	Drought	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-JM-D1-2a	Rhizo	Japanese Millet	Echinochloa esculenta	Severe Drought	NA	Drought	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-JM-D1-3a	Rhizo	Japanese Millet	Echinochloa esculenta	Severe Drought	NA	Drought	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-JM-D2-1a	Rhizo	Japanese Millet	Echinochloa esculenta	Moderate Drought	NA	Drought	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-JM-D2-2a	Rhizo	Japanese Millet	Echinochloa esculenta	Moderate Drought	NA	Drought	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-JM-D2-3a	Rhizo	Japanese Millet	Echinochloa esculenta	Moderate Drought	NA	Drought	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-JM-D3-1a	Rhizo	Japanese Millet	Echinochloa esculenta	Control	NA	Watered	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-JM-D3-2a	Rhizo	Japanese Millet	Echinochloa esculenta	Control	NA	Watered	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-JM-D3-3b	Rhizo	Japanese Millet	Echinochloa esculenta	Control	NA	Watered	3b	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PM-D1-1a	Rhizo	Pearl Millet	Penisetum glaucum	Severe Drought	NA	Drought	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PM-D1-2a	Rhizo	Pearl Millet	Penisetum glaucum	Severe Drought	NA	Drought	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PM-D1-3a	Rhizo	Pearl Millet	Penisetum glaucum	Severe Drought	NA	Drought	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PM-D2-1a	Rhizo	Pearl Millet	Penisetum glaucum	Moderate Drought	NA	Drought	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PM-D2-2a	Rhizo	Pearl Millet	Penisetum glaucum	Moderate Drought	NA	Drought	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PM-D2-3a	Rhizo	Pearl Millet	Penisetum glaucum	Moderate Drought	NA	Drought	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PM-D3-1a	Rhizo	Pearl Millet	Penisetum glaucum	Control	NA	Watered	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PM-D3-2a	Rhizo	Pearl Millet	Penisetum glaucum	Control	NA	Watered	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PM-D3-3b	Rhizo	Pearl Millet	Penisetum glaucum	Control	NA	Watered	3b	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PROSO-D1-1a	Rhizo	Proso Millet	Panicum miliaceum	Severe Drought	NA	Drought	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PROSO-D1-1b	Rhizo	Proso Millet	Panicum miliaceum	Severe Drought	NA	Drought	1b	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PROSO-D1-2a	Rhizo	Proso Millet	Panicum miliaceum	Severe Drought	NA	Drought	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PROSO-D1-3a	Rhizo	Proso Millet	Panicum miliaceum	Severe Drought	NA	Drought	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PROSO-D2-1a	Rhizo	Proso Millet	Panicum miliaceum	Moderate Drought	NA	Drought	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PROSO-D2-2b	Rhizo	Proso Millet	Panicum miliaceum	Moderate Drought	NA	Drought	2b	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PROSO-D2-3a	Rhizo	Proso Millet	Panicum miliaceum	Moderate Drought	NA	Drought	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PROSO-D3-1a	Rhizo	Proso Millet	Panicum miliaceum	Control	NA	Watered	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PROSO-D3-2a	Rhizo	Proso Millet	Panicum miliaceum	Control	NA	Watered	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
RHIZO-PROSO-D3-3a	Rhizo	Proso Millet	Panicum miliaceum	Control	NA	Watered	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
Rhizo-SP-D1-A	Rhizo	Japanese Millet	Echinochloa esculenta	Drought	FullDrought	Drought	1	NA	NA	NA	NA	NA	NA	Split Pot	
Rhizo-SP-D1-B	Rhizo	Japanese Millet	Echinochloa esculenta	Drought	FullDrought	Drought	1	NA	NA	NA	NA	NA	NA	Split Pot	
Rhizo-SP-D2-A	Rhizo	Japanese Millet	Echinochloa esculenta	Drought	FullDrought	Drought	2	NA	NA	NA	NA	NA	NA	Split Pot	
Rhizo-SP-D2-B	Rhizo	Japanese Millet	Echinochloa esculenta	Drought	FullDrought	Drought	2	NA	NA	NA	NA	NA	NA	Split Pot	
Rhizo-SP-D3-A	Rhizo	Japanese Millet	Echinochloa esculenta	Drought	FullDrought	Drought	3	NA	NA	NA	NA	NA	NA	Split Pot	
Rhizo-SP-D3-B	Rhizo	Japanese Millet	Echinochloa esculenta	Drought	FullDrought	Drought	3	NA	NA	NA	NA	NA	NA	Split Pot	
